ExplainMethod,GenAI,Strategy,Precision,Recall,F1,Accuracy,BLEU,ROUGE1,ROUGEL
SHAP,gpt-3.5-turbo,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8,1.0,1.0,1.0
SHAP,gpt-3.5-turbo,HSR,0.74,0.6548672566371682,0.6948356807511737,0.7291666666666666,0.9708251836413448,0.9908883031742877,0.9908883031742877
SHAP,gpt-3.5-turbo,PSR,0.7636363636363637,0.7433628318584071,0.7533632286995515,0.7708333333333334,0.9813494700089509,0.9940207667698152,0.9940207667698152
SHAP,gpt-3.5-turbo,GPT,0.7614678899082569,0.7345132743362832,0.7477477477477478,0.7666666666666667,0.9525446725270936,0.9830864340200084,0.9830864340200084
SHAP,gpt-3.5-turbo,GPT+Genre,0.7614678899082569,0.7345132743362832,0.7477477477477478,0.7666666666666667,0.953397626060731,0.9821871068159638,0.9821871068159638
SHAP,gpt-4,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8,1.0,1.0,1.0
SHAP,gpt-4,HSR,0.74,0.6548672566371682,0.6948356807511737,0.7291666666666666,0.9708251836413448,0.9908883031742877,0.9908883031742877
SHAP,gpt-4,PSR,0.7636363636363637,0.7433628318584071,0.7533632286995515,0.7708333333333334,0.9813494700089509,0.9940207667698152,0.9940207667698152
SHAP,gpt-4,GPT,0.75,0.6902654867256637,0.7188940092165899,0.7458333333333333,0.9504589669892349,0.9769894679283655,0.9769894679283655
SHAP,gpt-4,GPT+Genre,0.7523809523809524,0.6991150442477876,0.7247706422018348,0.75,0.9504977919343754,0.9767843832312996,0.9767843832312996
LIME,gpt-3.5-turbo,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8,1.0,1.0,1.0
LIME,gpt-3.5-turbo,HSR,0.5094339622641509,0.23893805309734514,0.3253012048192771,0.5333333333333333,0.8472803060550244,0.9276602668950403,0.9275853673700128
LIME,gpt-3.5-turbo,PSR,0.6533333333333333,0.4336283185840708,0.5212765957446809,0.625,0.8869193748902505,0.9520833163766528,0.9505181400281469
LIME,gpt-3.5-turbo,GPT,0.6904761904761905,0.5132743362831859,0.5888324873096447,0.6625,0.8009317971901526,0.8877488271577547,0.8853022344714085
LIME,gpt-3.5-turbo,GPT+Genre,0.6829268292682927,0.49557522123893805,0.5743589743589743,0.6541666666666667,0.8024683130323562,0.887221458452457,0.8842613835751133
LIME,gpt-4,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8,1.0,1.0,1.0
LIME,gpt-4,HSR,0.5094339622641509,0.23893805309734514,0.3253012048192771,0.5333333333333333,0.8472803060550244,0.9276602668950403,0.9275853673700128
LIME,gpt-4,PSR,0.6533333333333333,0.4336283185840708,0.5212765957446809,0.625,0.8869193748902505,0.9520833163766528,0.9505181400281469
LIME,gpt-4,GPT,0.6388888888888888,0.40707964601769914,0.4972972972972973,0.6125,0.8157018160395348,0.8842516253719837,0.8822548748390304
LIME,gpt-4,GPT+Genre,0.6533333333333333,0.4336283185840708,0.5212765957446809,0.625,0.8177907841608978,0.887153374410227,0.884633047217756
