GenAI,ExplainMethod,Strategy,Precision,Recall,F1,Accuracy
GPT-3.5,SHAP,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-3.5,SHAP,HSR,0.74,0.6548672566371682,0.6948356807511737,0.7291666666666666
GPT-3.5,SHAP,PSR,0.7636363636363637,0.7433628318584071,0.7533632286995515,0.7708333333333334
GPT-3.5,SHAP,GPT,0.7450980392156863,0.672566371681416,0.7069767441860465,0.7375
GPT-3.5,SHAP,GPT+Genre,0.7450980392156863,0.672566371681416,0.7069767441860465,0.7375
GPT-3.5,LIME,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-3.5,LIME,HSR,0.7758620689655172,0.7964601769911505,0.7860262008733624,0.7958333333333333
GPT-3.5,LIME,PSR,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-3.5,LIME,GPT,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-3.5,LIME,GPT+Genre,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-4,SHAP,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-4,SHAP,HSR,0.74,0.6548672566371682,0.6948356807511737,0.7291666666666666
GPT-4,SHAP,PSR,0.7636363636363637,0.7433628318584071,0.7533632286995515,0.7708333333333334
GPT-4,SHAP,GPT,0.7450980392156863,0.672566371681416,0.7069767441860465,0.7375
GPT-4,SHAP,GPT+Genre,0.7450980392156863,0.672566371681416,0.7069767441860465,0.7375
GPT-4,LIME,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-4,LIME,HSR,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-4,LIME,PSR,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-4,LIME,GPT,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
GPT-4,LIME,GPT+Genre,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
Bard,SHAP,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
Bard,SHAP,HSR,0.74,0.6548672566371682,0.6948356807511737,0.7291666666666666
Bard,SHAP,PSR,0.7636363636363637,0.7433628318584071,0.7533632286995515,0.7708333333333334
Bard,SHAP,GPT,0.7450980392156863,0.672566371681416,0.7069767441860465,0.7375
Bard,SHAP,GPT+Genre,0.7450980392156863,0.672566371681416,0.7069767441860465,0.7375
Bard,LIME,Original,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
Bard,LIME,HSR,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
Bard,LIME,PSR,0.7758620689655172,0.7964601769911505,0.7860262008733624,0.7958333333333333
Bard,LIME,GPT,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
Bard,LIME,GPT+Genre,0.7777777777777778,0.8053097345132744,0.7913043478260869,0.8
